time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,0.12,0.12,0.37,0.03,-0.02,1.01,0.0,1.37,0.21
0.05,-0.37,0.79,0.61,-0.02,-0.01,1.04,0.18,1.38,0.27
0.11,0.18,-0.79,-0.31,0.06,-0.04,1.02,0.08,1.37,0.27
0.16,-0.49,0.12,0.43,-0.02,-0.0,1.0,0.07,1.38,0.26
0.22,0.12,0.12,0.43,0.07,-0.03,1.06,0.13,1.38,0.27
0.27,-0.12,0.0,0.31,-0.04,-0.02,0.97,0.05,1.38,0.25
0.32,-0.12,-2.38,1.65,0.04,-0.01,1.02,0.16,1.38,0.3
0.38,0.18,0.24,-3.36,-0.02,-0.04,0.99,0.06,1.39,0.27
0.43,-0.31,-2.14,3.6,0.06,-0.01,1.0,0.11,1.37,0.29
0.49,0.37,0.55,-3.91,-0.02,-0.03,0.98,0.08,1.37,0.31
0.54,-0.24,-0.79,2.32,0.05,-0.01,1.02,0.04,1.37,0.3
0.6,0.37,0.92,-1.53,-0.03,-0.01,0.97,0.11,1.37,0.3
0.65,-0.12,-0.43,0.12,0.06,-0.06,1.01,0.07,1.36,0.28
0.71,-0.18,-0.31,2.2,-0.02,0.02,0.97,0.09,1.39,0.3
0.77,-0.18,-0.06,-2.08,0.03,-0.02,1.01,0.13,1.37,0.31
0.82,-0.12,0.12,1.77,-0.02,-0.02,0.99,0.04,1.36,0.29
0.87,0.31,-0.55,-0.18,0.02,-0.03,1.03,0.09,1.36,0.3
0.92,0.18,0.61,-1.71,-0.01,-0.02,0.98,0.07,1.36,0.26
0.98,0.0,-0.98,2.69,0.01,-0.0,1.06,0.1,1.36,0.27
1.03,0.12,-0.61,-1.95,0.0,-0.02,1.0,0.1,1.36,0.27
1.09,-0.12,0.12,0.49,0.0,-0.02,1.03,0.05,1.38,0.26
1.14,-0.12,0.06,-0.06,0.03,-0.01,0.98,0.1,1.38,0.27
1.2,0.06,1.34,-2.14,-0.0,-0.02,1.02,0.03,1.4,0.25
1.25,0.06,1.34,-2.14,0.03,-0.0,0.99,0.1,1.39,0.29
1.3,0.31,0.06,-2.01,-0.0,-0.03,1.0,0.09,1.37,0.26
1.36,-0.18,0.12,0.79,0.01,-0.02,1.0,0.05,1.39,0.29
1.41,0.06,-0.18,0.37,0.02,-0.02,0.98,0.12,1.38,0.26
1.47,0.18,1.04,-2.69,0.0,-0.03,0.97,0.05,1.38,0.27
1.52,-0.06,-1.16,4.15,0.04,0.01,0.99,0.1,1.38,0.28
1.58,-0.24,1.22,-2.99,0.01,-0.03,0.98,0.11,1.38,0.31
1.63,-0.18,-0.61,2.75,-0.0,0.0,0.97,0.0,1.37,0.28
1.69,-0.31,1.28,0.24,-0.0,-0.02,1.02,0.16,1.38,0.31
1.74,0.06,0.18,-0.61,0.0,-0.01,1.0,0.01,1.37,0.25
1.79,-0.31,1.53,1.28,0.05,-0.02,0.99,0.12,1.37,0.28
1.85,0.18,-0.37,0.37,-0.02,-0.02,0.97,0.06,1.37,0.26
1.91,-0.49,1.53,-0.98,-0.02,-0.02,1.03,0.09,1.38,0.29
1.96,0.0,-1.83,2.01,0.05,-0.0,1.02,0.1,1.36,0.27
2.02,-0.61,1.77,-2.93,-0.02,-0.04,1.0,0.08,1.37,0.27
2.07,-0.06,-0.79,2.99,0.01,-0.01,1.02,0.04,1.37,0.26
2.12,-0.43,1.65,-0.31,-0.01,-0.03,1.01,0.13,1.38,0.29
2.17,0.06,-1.22,-0.37,0.03,-0.02,1.04,0.02,1.38,0.24
2.23,-0.61,-0.18,1.77,0.02,-0.01,1.0,0.11,1.38,0.26
2.28,0.06,-1.22,-1.34,0.01,-0.01,1.03,0.03,1.36,0.26
2.34,0.12,0.18,-0.79,-0.01,-0.03,0.99,0.02,1.37,0.25
2.39,-0.18,-0.49,1.28,0.04,-0.01,1.02,0.08,1.35,0.24
2.45,0.0,0.0,-1.83,-0.01,-0.02,1.02,0.0,1.35,0.22
2.5,0.06,-1.34,0.79,0.04,-0.01,1.04,0.1,1.36,0.25
2.56,-0.12,0.06,-2.2,-0.01,-0.04,0.98,0.03,1.36,0.23
2.61,-0.18,-1.34,2.87,0.04,-0.0,1.01,0.04,1.35,0.24
2.67,-0.06,0.67,-2.81,-0.02,-0.02,0.98,0.08,1.33,0.25
2.72,0.0,-0.55,0.92,0.01,-0.03,0.98,-0.03,1.32,0.23
2.77,-0.06,0.37,0.79,-0.04,0.0,0.94,0.09,1.33,0.24
2.83,-0.43,0.18,-1.1,0.05,-0.04,0.99,0.04,1.32,0.25
2.88,-0.12,0.92,1.83,-0.01,-0.0,1.01,0.0,1.33,0.23
2.94,-0.31,0.49,-2.69,0.03,-0.03,1.01,0.09,1.32,0.27
3.0,-0.18,-0.37,1.95,-0.01,-0.02,1.04,-0.04,1.34,0.24
3.05,-0.12,0.24,-0.61,0.02,-0.0,1.0,0.07,1.34,0.26
3.1,-0.06,0.12,-1.16,0.0,-0.03,1.01,-0.01,1.33,0.25
3.16,0.06,0.49,1.83,-0.0,-0.02,0.99,-0.02,1.33,0.27
3.21,-0.18,0.24,-0.98,0.01,-0.02,0.98,0.02,1.33,0.25
3.26,-0.37,0.24,-0.18,0.0,-0.02,0.99,0.0,1.34,0.28
3.32,-0.12,-0.24,2.14,0.01,-0.01,1.04,0.02,1.34,0.27
3.37,0.06,0.49,-2.26,-0.0,-0.04,1.0,0.03,1.33,0.27
3.43,-0.06,-0.31,1.53,0.01,-0.01,1.03,-0.03,1.36,0.25
3.48,-0.06,0.37,0.73,0.01,-0.02,1.0,0.05,1.36,0.25
3.54,0.18,0.92,-1.77,-0.0,-0.02,0.99,-0.04,1.37,0.25
3.59,-0.49,-1.1,3.72,0.02,0.0,0.97,0.06,1.37,0.27
3.64,0.24,0.85,-3.05,0.02,0.0,0.97,0.0,1.37,0.26
3.7,-0.37,-0.18,2.38,-0.0,-0.03,1.0,0.0,1.37,0.28
3.75,0.0,0.49,-2.08,0.02,-0.02,1.0,0.02,1.37,0.26
3.81,-0.18,-0.06,-0.43,0.03,-0.04,0.99,-0.02,1.38,0.27
3.86,-0.12,-0.31,2.81,-0.01,0.01,1.02,0.03,1.38,0.25
3.92,-0.18,-0.18,-3.17,0.02,-0.05,1.01,0.03,1.37,0.3
3.98,-0.43,-0.18,2.75,-0.04,-0.02,0.97,-0.02,1.38,0.29
4.03,-0.06,0.18,-0.61,0.01,-0.02,1.04,0.04,1.38,0.32
4.08,0.31,0.18,-1.53,-0.01,-0.01,0.99,-0.03,1.38,0.26
4.13,-0.06,-1.04,1.83,0.02,-0.03,1.03,0.01,1.38,0.29
4.19,-0.12,-0.06,-0.85,-0.0,-0.03,1.0,-0.01,1.38,0.27
4.24,0.06,-0.12,0.12,0.01,-0.01,1.03,-0.03,1.39,0.27
4.3,-0.06,-1.22,0.18,0.01,-0.0,1.02,0.05,1.38,0.27
