time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,0.24,0.55,0.06,-0.0,0.01,0.97,0.0,0.87,-0.01
0.06,0.18,1.1,-1.04,-0.04,0.01,0.99,0.05,0.86,-0.03
0.11,0.31,-0.55,0.37,0.02,-0.02,0.99,0.02,0.86,-0.02
0.16,0.43,0.55,0.06,-0.04,0.0,0.97,-0.01,0.88,-0.02
0.22,0.12,0.43,-0.18,0.01,-0.01,0.97,0.03,0.87,-0.02
0.27,0.37,0.61,-1.89,-0.03,-0.05,0.98,0.0,0.88,-0.03
0.33,-0.06,-0.18,3.05,0.02,0.03,0.97,0.07,0.89,-0.01
0.38,-0.31,1.4,-1.95,-0.01,-0.03,1.0,0.03,0.87,-0.03
0.44,0.18,-0.79,3.05,0.02,0.0,1.01,0.02,0.87,-0.01
0.49,-0.24,0.73,-2.44,0.01,-0.05,1.07,0.03,0.87,-0.04
0.55,0.18,-0.67,2.5,0.02,0.01,1.0,0.02,0.87,-0.02
0.6,-0.18,0.37,-2.08,0.01,-0.03,1.09,0.02,0.85,-0.03
0.65,-0.73,-0.43,1.83,0.01,-0.03,1.09,0.0,0.87,-0.03
0.71,0.0,0.98,-1.04,0.03,-0.0,1.01,0.02,0.85,-0.02
0.76,-0.31,0.18,-0.73,0.01,-0.0,1.07,0.0,0.86,0.01
0.82,-0.31,0.67,1.46,-0.08,-0.01,0.99,0.02,0.85,-0.0
0.87,-0.18,0.49,0.0,0.05,-0.02,1.04,0.0,0.85,-0.03
0.93,0.06,1.77,-1.34,-0.05,-0.02,1.04,-0.03,0.86,-0.04
0.98,-0.31,-1.04,1.77,0.05,-0.0,1.1,0.03,0.85,-0.01
1.03,0.12,0.49,-1.59,-0.02,-0.06,1.05,0.01,0.84,-0.03
1.09,-0.37,-1.22,4.33,0.05,-0.0,1.09,0.0,0.85,-0.01
1.14,0.24,0.85,-3.54,-0.05,-0.02,1.05,0.02,0.83,-0.03
1.2,-0.31,0.0,1.71,0.02,-0.01,0.99,-0.03,0.84,-0.01
1.25,-0.18,0.98,-0.85,-0.05,-0.02,1.05,0.02,0.85,-0.02
1.31,-0.12,0.79,0.37,0.02,-0.03,1.03,-0.04,0.85,-0.01
1.36,0.12,-0.49,0.79,-0.05,0.01,1.04,0.04,0.83,-0.01
1.42,-0.18,0.18,0.43,0.04,-0.04,1.07,0.0,0.82,-0.0
1.47,-0.18,-0.55,-0.24,-0.03,0.0,1.03,-0.04,0.82,-0.02
1.52,0.12,-0.85,0.18,0.05,0.01,1.02,0.01,0.82,-0.01
1.58,0.12,0.06,-2.32,-0.03,-0.03,1.03,-0.05,0.82,-0.03
