time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,-0.31,0.92,0.06,0.0,-0.04,1.0,0.0,0.97,-0.02
0.06,-0.06,0.61,-1.65,0.01,-0.04,0.99,-0.11,0.97,-0.03
0.11,-0.06,0.61,1.71,-0.01,0.02,0.99,-0.04,0.97,-0.01
0.17,-0.31,0.18,-1.71,0.04,-0.05,0.98,-0.09,0.97,-0.03
0.22,-0.24,0.24,2.38,-0.01,0.03,0.97,-0.06,0.98,-0.02
0.28,-0.12,-0.12,-2.26,0.02,-0.04,0.97,-0.08,0.96,-0.03
0.33,0.0,0.0,2.2,-0.01,0.01,0.97,-0.08,0.96,-0.02
0.39,-0.18,0.43,-1.04,0.02,-0.02,1.0,-0.05,0.96,-0.03
0.44,-0.18,0.49,-0.37,0.01,-0.02,0.98,-0.11,0.97,-0.03
0.49,0.0,0.67,0.85,0.02,0.0,1.02,-0.04,0.95,-0.04
0.55,-0.31,0.61,-0.92,0.01,-0.05,0.97,-0.08,0.96,-0.03
0.6,0.0,0.73,1.77,-0.04,0.02,0.96,-0.06,0.96,-0.05
0.66,-0.18,0.43,-2.56,0.03,-0.04,0.98,-0.07,0.96,-0.03
0.71,-0.06,0.49,2.93,-0.04,0.01,0.98,-0.09,0.96,-0.04
0.77,0.12,0.73,-2.75,0.02,-0.01,0.96,-0.03,0.94,-0.02
0.82,-0.18,-1.65,1.04,-0.04,-0.0,0.95,-0.14,0.97,-0.02
0.87,0.24,0.79,-2.2,0.02,0.01,0.99,-0.02,0.98,-0.01
0.93,0.31,-1.16,-0.43,-0.0,-0.04,1.05,-0.14,0.98,-0.01
0.98,0.18,-0.43,-0.67,0.03,0.01,1.02,0.0,0.97,-0.0
1.04,0.18,-1.34,-2.14,0.0,-0.04,1.02,-0.15,0.97,-0.01
1.09,0.18,-1.34,-2.14,-0.0,0.03,0.99,-0.03,0.98,0.01
1.15,-0.37,-0.18,-3.36,-0.01,-0.04,0.98,-0.15,1.0,-0.01
1.2,-0.24,0.67,3.66,0.0,0.03,0.97,-0.06,0.99,-0.0
1.25,-0.43,0.55,-3.66,0.01,-0.05,1.02,-0.15,0.98,-0.01
1.31,-0.18,0.24,3.85,-0.01,0.03,0.98,-0.1,0.98,-0.01
1.36,-0.18,0.43,-3.05,-0.01,0.03,0.98,-0.11,0.96,0.01
1.42,-0.24,0.06,3.54,-0.0,-0.06,1.03,-0.11,0.97,0.02
1.47,0.0,0.73,-3.23,-0.02,0.02,0.98,-0.1,0.95,0.01
1.53,-0.37,0.31,2.99,-0.02,0.02,0.97,-0.13,0.98,0.02
1.58,0.12,0.18,-1.95,-0.01,-0.02,1.03,-0.06,0.94,0.02
1.64,-0.18,-0.73,1.1,0.01,-0.02,1.01,-0.14,0.97,0.03
1.69,-0.12,-0.37,-1.59,-0.02,0.01,1.03,-0.05,0.95,0.04
1.75,0.0,-0.79,-0.92,0.05,-0.03,1.03,-0.11,0.96,0.04
1.8,-0.06,-0.79,0.98,-0.02,0.02,1.02,-0.06,0.95,0.05
1.86,-0.31,-0.73,-1.34,0.04,-0.04,0.98,-0.1,0.96,0.06
1.91,0.06,0.67,1.95,-0.05,0.02,0.96,-0.08,0.96,0.05
1.97,-0.06,-0.92,-1.59,0.05,-0.04,0.99,-0.07,0.94,0.08
2.02,-0.18,-0.06,2.44,-0.04,0.0,1.03,-0.11,0.97,0.07
2.08,-0.06,-0.55,-1.95,0.05,-0.02,1.05,-0.05,0.97,0.1
2.13,-0.24,0.49,0.43,-0.05,-0.02,1.0,-0.14,0.98,0.04
