time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,0.24,1.53,-2.69,0.02,0.0,1.02,0.0,0.93,0.24
0.06,0.12,-0.92,2.69,-0.03,0.03,0.98,0.07,0.91,0.19
0.12,-0.12,-0.12,-2.08,0.04,-0.05,0.99,0.04,0.93,0.23
0.17,0.0,-0.18,2.69,-0.03,0.03,0.97,0.04,0.93,0.19
0.22,0.12,1.04,-3.36,0.03,-0.03,0.97,0.05,0.93,0.22
0.28,-0.12,0.0,2.81,-0.02,0.02,0.97,0.01,0.92,0.18
0.33,-0.12,-0.06,-2.38,0.04,-0.04,0.98,0.07,0.91,0.22
0.38,-0.06,-0.49,1.59,-0.01,0.01,0.99,0.01,0.91,0.19
0.44,0.12,0.0,-2.44,0.03,-0.01,0.95,0.06,0.9,0.19
0.49,0.12,-0.92,2.44,-0.01,0.02,0.98,0.0,0.89,0.16
0.55,0.24,-0.12,-2.5,0.02,-0.02,0.98,0.07,0.87,0.21
0.6,0.0,0.06,0.49,-0.03,0.01,1.01,-0.04,0.87,0.16
0.66,-0.18,-0.61,-2.26,0.03,-0.02,0.99,0.05,0.85,0.19
0.71,0.0,-0.49,1.71,-0.0,0.0,0.96,-0.01,0.85,0.16
0.77,-0.12,0.18,-2.32,0.02,-0.03,1.03,0.05,0.85,0.2
0.82,-0.06,0.12,1.95,-0.01,0.0,0.99,-0.04,0.88,0.18
0.87,-0.31,-1.28,-0.98,0.02,0.0,1.03,0.05,0.86,0.18
0.93,0.18,0.73,-0.67,0.03,-0.05,1.0,0.01,0.87,0.16
0.98,-0.43,-1.83,0.31,0.0,0.01,1.0,0.02,0.87,0.18
1.04,-0.37,-1.22,-0.24,0.01,-0.03,0.99,0.01,0.86,0.18
1.09,0.0,-0.43,1.4,-0.01,-0.01,1.01,-0.02,0.88,0.22
1.15,-0.37,-0.49,-1.53,0.01,-0.03,0.98,0.05,0.87,0.21
1.2,-0.18,1.28,1.04,-0.02,-0.0,0.99,-0.06,0.9,0.23
1.26,-0.31,-0.79,-0.43,-0.0,-0.0,0.98,0.05,0.87,0.19
1.31,0.18,0.43,-1.28,0.01,-0.02,1.03,-0.03,0.9,0.23
1.36,-0.37,-0.31,0.55,0.02,-0.01,1.0,0.07,0.88,0.21
1.42,0.31,1.1,-1.89,-0.01,-0.03,0.95,-0.04,0.91,0.26
1.47,-0.12,-0.12,1.28,-0.03,0.03,1.0,0.06,0.89,0.23
1.53,0.31,1.16,-2.32,0.01,0.01,1.02,-0.05,0.92,0.27
1.59,-0.12,-0.31,2.87,-0.02,-0.04,0.95,0.05,0.92,0.24
1.64,0.55,0.67,-3.66,-0.03,-0.03,0.99,-0.05,0.94,0.31
1.69,-0.06,-0.73,2.2,-0.02,0.03,1.0,0.03,0.93,0.25
1.75,0.06,0.79,-2.56,0.01,-0.06,0.96,-0.01,0.92,0.29
1.8,0.24,0.06,3.6,-0.02,0.02,1.01,0.01,0.9,0.24
1.85,0.12,0.55,-3.36,-0.02,-0.05,0.96,0.0,0.9,0.29
1.91,0.12,0.06,3.3,-0.04,0.01,0.99,-0.03,0.88,0.23
1.97,0.18,-0.12,-2.62,-0.0,-0.05,0.98,-0.02,0.87,0.29
2.02,0.0,-0.61,3.48,-0.01,0.02,0.96,-0.02,0.86,0.23
2.08,-0.18,-1.16,-2.93,0.06,-0.05,1.03,0.01,0.87,0.29
2.13,-0.18,0.06,2.01,-0.04,0.0,0.98,-0.08,0.87,0.24
