time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,-0.61,0.24,2.69,-0.01,0.01,0.99,0.0,0.96,0.32
0.05,0.0,0.12,-2.26,0.02,-0.03,1.02,0.07,0.96,0.29
0.11,-0.37,0.79,1.53,0.01,0.0,1.03,0.0,0.96,0.3
0.16,-0.18,-0.92,-0.79,-0.03,-0.01,1.03,0.08,0.96,0.27
0.21,0.12,0.85,-1.16,-0.01,-0.01,1.02,-0.01,0.96,0.27
0.27,-0.12,-1.28,0.98,0.03,-0.03,1.03,0.07,0.97,0.26
0.33,-0.18,-0.18,-0.49,0.02,-0.01,1.02,0.04,0.94,0.27
0.38,-0.18,-0.31,0.0,-0.03,-0.01,1.03,0.01,0.94,0.26
0.43,-0.49,0.49,1.28,0.03,-0.02,1.02,0.09,0.94,0.27
0.49,-0.37,-0.79,-1.22,-0.02,-0.03,1.04,-0.05,0.95,0.24
0.54,-0.37,0.31,2.32,0.02,0.02,1.05,0.06,0.95,0.27
0.6,-0.31,-1.04,-2.81,-0.02,-0.06,1.03,0.0,0.95,0.26
0.65,-0.24,0.67,4.33,0.03,0.0,1.02,0.01,0.95,0.28
0.71,-0.31,0.55,-3.85,-0.03,-0.03,1.03,0.04,0.96,0.25
0.76,-0.06,-0.24,2.62,0.02,0.01,1.04,-0.03,0.94,0.29
0.82,0.12,-1.46,-2.87,-0.02,-0.02,1.04,0.02,0.95,0.26
0.87,-0.06,0.49,0.06,0.03,-0.03,1.03,-0.05,0.95,0.25
0.92,-0.18,-1.46,0.79,-0.0,-0.0,1.0,0.03,0.94,0.24
0.98,-0.06,0.49,-1.77,0.02,-0.03,1.04,-0.03,0.94,0.28
1.03,-0.31,0.49,1.04,-0.05,-0.01,1.0,0.01,0.95,0.24
1.09,-0.12,0.43,0.06,0.04,-0.02,1.03,-0.01,0.94,0.27
1.14,-0.06,0.37,0.49,-0.06,-0.01,1.01,-0.06,0.95,0.24
1.19,-0.24,0.12,1.04,0.04,-0.02,1.08,0.05,0.94,0.27
1.25,-0.12,0.31,-1.59,0.0,-0.02,1.02,-0.06,0.94,0.26
1.3,-0.12,0.43,1.65,0.03,-0.0,1.06,0.03,0.93,0.26
1.36,-0.37,0.49,-2.56,0.02,-0.05,0.99,-0.04,0.92,0.27
1.41,0.24,-1.1,3.48,0.02,0.01,1.05,-0.03,0.93,0.27
1.47,0.24,-1.1,3.48,0.01,-0.03,1.0,0.02,0.92,0.28
1.52,0.0,-0.73,2.08,0.01,0.0,1.03,-0.1,0.93,0.28
1.57,-0.67,1.34,-0.06,0.02,-0.01,0.98,0.04,0.92,0.27
1.63,0.18,-1.04,-0.12,0.02,-0.01,1.01,-0.1,0.92,0.27
1.68,-0.18,0.37,0.67,-0.02,0.01,0.96,-0.01,0.93,0.28
1.74,0.0,-0.67,-0.49,-0.02,0.01,0.96,-0.06,0.93,0.27
1.79,-0.49,0.55,1.1,0.0,-0.03,1.02,-0.05,0.93,0.25
