time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,-0.24,-0.12,1.1,-0.02,-0.01,0.98,0.0,0.97,0.48
0.05,0.06,-0.85,-0.43,0.04,-0.02,1.0,0.11,0.96,0.53
0.11,-0.24,0.24,-0.12,-0.03,-0.01,1.02,-0.03,0.98,0.51
0.16,-0.06,-1.4,1.53,0.04,0.0,1.0,0.09,0.98,0.53
0.22,0.0,-0.12,-1.28,-0.01,-0.04,1.03,0.01,0.97,0.52
0.27,-0.31,-0.06,2.2,0.02,0.0,0.98,0.05,0.98,0.53
0.33,-0.06,0.37,-1.71,-0.01,-0.01,1.02,0.05,0.98,0.53
0.38,-0.06,-0.18,-0.24,-0.01,-0.02,1.0,0.01,0.98,0.52
0.43,0.0,-0.98,0.73,0.0,0.0,1.01,0.06,0.98,0.51
0.49,-0.12,0.43,-2.2,-0.0,-0.03,1.01,-0.02,0.97,0.51
0.54,0.12,-0.98,1.95,0.01,0.01,0.99,0.02,0.98,0.49
0.6,-0.55,1.22,-2.75,-0.01,-0.04,0.95,0.0,0.97,0.52
0.65,-0.31,-0.12,2.69,0.0,0.01,0.99,-0.03,0.98,0.5
0.71,0.18,0.73,-2.56,-0.02,-0.02,0.95,0.05,0.96,0.51
0.76,-0.18,-0.61,1.59,0.02,-0.01,1.01,-0.06,0.96,0.49
0.82,0.06,0.43,-0.61,-0.0,-0.0,0.96,0.05,0.96,0.52
0.87,0.31,0.31,-2.01,0.01,-0.03,1.06,-0.08,0.96,0.51
0.92,-0.18,-0.43,0.73,0.01,-0.03,1.06,0.06,0.97,0.52
0.98,0.06,0.37,-1.4,0.02,-0.04,1.01,-0.03,0.96,0.52
1.03,0.0,-0.55,2.5,0.01,0.02,0.99,0.04,0.96,0.53
1.09,-0.24,0.0,-2.62,0.01,-0.05,1.05,0.01,0.94,0.51
1.14,-0.18,-1.28,2.44,0.02,-0.0,0.99,0.0,0.95,0.52
1.2,-0.06,1.46,-0.85,0.0,-0.01,0.99,0.03,0.95,0.5
1.25,-0.31,-0.06,1.46,0.02,-0.01,0.99,-0.04,0.94,0.52
1.3,-0.06,0.73,-0.18,0.0,0.0,1.01,0.02,0.95,0.5
1.36,-0.31,1.28,-1.77,0.02,-0.04,1.02,-0.03,0.95,0.5
1.41,0.06,-0.49,2.5,-0.01,0.02,1.0,0.01,0.94,0.47
1.47,-0.06,0.79,-3.11,0.02,-0.03,1.02,-0.03,0.93,0.49
1.52,-0.24,0.55,2.62,-0.0,0.0,1.02,-0.03,0.93,0.44
1.58,0.12,0.24,-2.14,0.02,-0.01,1.01,0.01,0.91,0.47
1.63,-0.31,1.28,1.22,-0.01,0.01,0.99,-0.05,0.92,0.45
1.69,0.18,0.37,-2.01,0.01,-0.01,0.99,0.03,0.9,0.44
1.74,-0.12,-0.12,-0.61,-0.01,-0.01,0.97,-0.09,0.9,0.44
1.79,0.49,-0.24,-0.92,0.01,0.01,0.99,0.06,0.88,0.46
1.85,0.06,0.18,-2.08,-0.02,-0.02,0.95,-0.08,0.9,0.43
1.9,0.18,-1.1,1.1,0.02,0.0,1.0,0.02,0.9,0.42
1.96,0.18,0.55,-2.5,0.01,-0.01,0.97,-0.06,0.89,0.44
2.01,0.0,-1.28,1.46,0.0,0.0,1.0,-0.01,0.9,0.44
2.07,0.0,0.18,-1.16,0.01,-0.04,0.95,-0.03,0.88,0.44
2.12,0.37,-1.28,2.26,0.02,0.01,0.99,-0.07,0.89,0.42
2.18,0.06,-0.98,-1.28,-0.0,-0.0,0.94,0.0,0.86,0.45
2.23,0.0,0.67,-0.92,0.01,-0.02,1.0,-0.09,0.86,0.43
2.28,0.18,-0.06,0.0,-0.02,0.01,0.94,0.0,0.86,0.44
2.34,-0.24,0.92,-1.04,0.02,-0.04,1.0,-0.05,0.86,0.44
2.39,0.12,-1.28,1.83,0.02,-0.04,1.0,-0.04,0.87,0.46
2.45,-0.06,0.85,-1.89,-0.02,0.01,0.94,-0.04,0.87,0.45
2.5,-0.12,-1.34,2.08,0.02,-0.04,1.0,-0.05,0.88,0.44
2.56,0.0,1.04,-1.28,0.0,-0.01,0.98,0.0,0.89,0.43
2.61,-0.18,-0.92,2.08,0.01,-0.02,1.04,-0.11,0.91,0.42
2.66,-0.31,0.85,-0.06,-0.01,0.0,0.94,0.0,0.9,0.43
2.72,0.0,0.79,-1.1,0.0,-0.02,1.01,-0.11,0.92,0.41
2.77,-0.24,0.37,1.16,-0.01,0.0,0.97,-0.02,0.92,0.42
2.83,-0.18,0.73,-2.01,-0.0,-0.04,1.03,-0.13,0.93,0.42
2.88,0.18,-1.1,3.6,0.01,0.01,1.04,-0.04,0.93,0.43
2.94,-0.37,0.92,-2.75,-0.0,-0.04,1.0,-0.09,0.93,0.44
2.99,0.12,-0.31,3.36,0.0,0.0,0.99,-0.09,0.93,0.42
3.04,-0.24,0.92,-3.48,0.02,-0.02,0.98,-0.08,0.92,0.44
3.1,-0.12,-0.79,2.08,-0.01,0.01,1.0,-0.14,0.93,0.43
3.15,0.06,-0.24,-1.89,0.01,-0.01,1.02,-0.04,0.92,0.44
3.21,-0.06,-0.18,0.18,-0.01,-0.01,1.0,-0.13,0.92,0.43
3.27,-0.12,0.12,-0.61,-0.01,-0.0,1.03,-0.04,0.91,0.44
3.32,-0.06,0.49,-1.34,0.01,-0.02,1.0,-0.11,0.91,0.43
3.37,-0.06,0.0,0.98,-0.0,0.0,1.03,-0.11,0.91,0.43
3.43,0.0,-0.43,-0.85,0.05,-0.04,1.05,-0.1,0.91,0.42
3.48,-0.18,-1.16,1.28,-0.02,0.0,1.05,-0.1,0.92,0.43
3.54,-0.12,1.16,-1.04,0.03,-0.01,1.02,-0.06,0.92,0.43
3.59,-0.49,0.43,0.37,-0.03,-0.03,1.03,-0.15,0.94,0.43
3.64,0.06,0.43,-0.24,0.05,-0.01,1.03,-0.04,0.94,0.44
3.7,-0.12,0.37,-1.1,0.01,-0.02,1.05,-0.14,0.94,0.43
3.75,-0.31,-0.67,0.73,0.02,-0.01,0.98,-0.06,0.92,0.43
3.81,-0.06,-0.06,-2.44,-0.01,-0.04,1.03,-0.17,0.93,0.43
3.86,-0.18,-1.04,3.23,0.03,0.0,1.02,-0.08,0.92,0.43
3.92,-0.37,0.92,-3.17,-0.0,-0.04,1.05,-0.13,0.92,0.42
3.97,-0.06,-1.22,3.48,-0.0,-0.04,1.05,-0.1,0.92,0.41
4.03,-0.06,0.12,-3.36,0.03,-0.01,1.03,-0.12,0.92,0.42
4.08,-0.24,-1.34,3.3,0.01,-0.04,1.03,-0.14,0.93,0.42
4.13,-0.06,-0.49,-1.46,0.02,0.01,0.98,-0.1,0.91,0.44
4.19,0.12,0.06,0.0,-0.05,-0.0,0.97,-0.16,0.92,0.42
