time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,0.12,-0.85,-0.55,0.0,-0.02,1.01,0.0,1.0,0.5
0.06,-0.18,0.0,1.16,-0.02,0.01,0.99,0.03,1.0,0.51
0.11,0.31,-0.06,-0.67,0.01,-0.02,1.05,0.08,0.99,0.49
0.17,-0.12,0.79,-1.83,0.0,-0.02,1.0,0.01,1.0,0.48
0.22,-0.06,-0.98,2.26,0.01,-0.0,1.05,0.05,0.99,0.49
0.27,0.12,1.1,-2.56,-0.02,-0.02,1.01,-0.02,1.0,0.47
0.33,0.0,-0.43,3.23,0.02,-0.01,1.03,0.06,1.0,0.46
0.38,-0.24,0.85,-2.87,0.0,-0.03,0.98,0.03,1.01,0.45
0.44,-0.06,-0.31,3.42,-0.01,0.0,1.07,0.0,1.01,0.46
0.49,0.06,-0.12,-2.81,0.02,-0.02,1.01,0.06,1.01,0.45
0.55,-0.24,-0.67,0.79,0.01,-0.02,1.03,-0.06,1.02,0.44
0.6,-0.37,-0.37,0.85,0.0,-0.02,1.0,0.03,0.99,0.44
0.65,0.12,-0.31,0.18,-0.0,-0.02,1.04,-0.07,1.01,0.45
0.71,-0.61,0.37,1.65,-0.0,0.01,0.98,0.06,1.0,0.46
0.76,-0.06,0.85,-2.26,0.0,-0.04,1.06,-0.03,1.0,0.44
0.82,-0.37,-0.06,2.5,0.0,-0.01,0.99,-0.02,1.0,0.46
0.87,0.37,-0.79,-1.53,0.01,-0.01,1.04,0.03,1.0,0.46
0.93,0.0,0.37,-1.59,-0.02,-0.01,0.99,-0.07,0.99,0.46
0.98,0.0,-0.67,1.59,0.02,-0.01,1.04,-0.01,0.99,0.45
1.04,-0.24,0.49,-2.87,-0.01,-0.01,0.96,-0.06,1.01,0.44
1.09,-0.31,-1.16,2.93,0.0,0.01,1.03,0.0,1.01,0.47
1.15,-0.73,1.89,-3.17,-0.01,-0.03,1.01,-0.01,1.0,0.47
1.2,-0.37,-0.31,2.44,0.0,-0.0,1.06,-0.07,1.01,0.44
1.25,0.06,-0.85,-2.08,0.01,-0.05,1.03,0.01,1.01,0.46
1.31,-0.31,-1.1,1.22,0.0,-0.02,1.03,-0.09,1.02,0.44
1.36,-0.12,-0.12,0.0,0.0,-0.02,1.03,0.03,1.01,0.48
1.42,-0.24,1.1,-1.59,-0.01,0.01,1.0,-0.07,1.0,0.44
1.47,-0.43,1.22,0.06,-0.01,-0.01,0.97,0.06,0.99,0.46
1.53,-0.06,-0.06,-1.71,0.03,-0.04,1.01,-0.05,1.01,0.45
1.58,-0.43,1.1,1.46,-0.01,0.01,0.98,-0.03,1.02,0.47
1.63,0.12,-0.31,-1.34,0.02,-0.04,1.05,-0.02,1.01,0.47
1.69,-0.24,0.61,1.22,-0.0,-0.01,1.01,-0.05,1.02,0.45
1.74,-0.31,-0.43,0.43,0.01,-0.0,1.05,-0.01,1.01,0.47
1.8,-0.06,0.12,-1.83,0.01,-0.04,0.99,-0.06,1.02,0.46
1.85,0.0,-0.61,2.99,-0.0,0.01,1.05,-0.05,1.01,0.48
1.91,-0.37,-0.49,-3.23,0.03,-0.04,0.99,-0.04,1.02,0.51
1.96,-0.12,0.12,1.77,0.01,-0.01,1.05,-0.11,1.03,0.47
2.01,0.18,-0.85,-1.04,0.03,-0.01,0.98,-0.01,1.03,0.48
2.07,-0.24,0.79,0.31,-0.01,-0.01,0.99,-0.12,1.05,0.46
2.12,0.06,0.67,-2.01,-0.0,-0.01,0.98,-0.01,1.03,0.48
2.18,-0.24,1.04,-1.04,0.01,-0.01,0.97,-0.14,1.04,0.44
2.23,-0.61,0.61,1.65,0.02,0.0,0.97,-0.05,1.02,0.47
2.29,-0.18,-0.79,-2.44,0.02,-0.05,1.02,-0.11,1.04,0.47
2.34,-0.73,1.16,1.95,-0.02,-0.01,0.99,-0.11,1.04,0.47
2.4,-0.24,-0.43,-0.24,0.01,-0.0,1.07,-0.05,1.03,0.47
2.45,0.0,0.12,-0.67,0.0,-0.02,1.0,-0.06,1.04,0.46
2.5,-0.12,-0.49,0.24,0.0,-0.02,1.06,-0.06,1.04,0.47
2.56,-0.18,0.43,0.49,0.01,-0.01,1.02,-0.07,1.03,0.47
2.62,-0.12,-0.12,-0.55,0.01,-0.0,1.04,-0.11,1.04,0.44
2.67,-0.06,0.18,-0.85,0.01,-0.02,0.98,-0.01,1.03,0.46
2.72,-0.18,-0.18,-0.49,0.0,-0.01,1.02,-0.1,1.04,0.43
2.78,0.06,-0.43,1.28,0.0,0.0,0.97,-0.03,1.02,0.46
2.83,0.24,0.31,-2.32,0.01,-0.03,1.05,-0.12,1.03,0.43
2.88,-0.24,-0.18,1.95,-0.0,0.0,0.99,-0.09,1.02,0.43
2.94,-0.43,-0.31,-1.53,0.03,-0.03,1.01,-0.09,1.02,0.43
2.99,-0.43,0.43,2.14,-0.0,-0.0,0.99,-0.11,1.02,0.42
3.05,-0.06,-0.37,-0.55,-0.0,-0.0,0.99,-0.06,1.01,0.43
3.1,-0.55,0.61,-2.2,0.01,-0.01,1.02,-0.12,1.01,0.41
3.16,0.06,-0.55,2.5,0.0,-0.02,0.97,-0.06,1.02,0.43
