time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,0.06,-2.14,1.16,0.04,-0.01,1.03,0.0,1.26,0.3
0.06,-0.37,0.61,-3.66,-0.02,-0.03,0.98,-0.1,1.29,0.3
0.11,0.24,-0.73,3.85,0.01,0.01,0.97,0.0,1.29,0.31
0.17,-0.55,1.77,-3.42,-0.02,-0.03,0.98,-0.04,1.29,0.31
0.22,0.49,-2.44,3.54,0.04,0.0,0.99,-0.03,1.28,0.3
0.28,-0.24,0.43,-3.05,-0.01,-0.03,1.0,-0.01,1.28,0.31
0.33,0.92,-2.69,3.17,0.04,-0.01,1.0,-0.06,1.27,0.33
0.39,-0.49,-0.18,-1.71,-0.05,-0.0,0.92,0.0,1.25,0.32
0.44,0.24,-1.28,0.73,0.05,-0.03,1.0,-0.11,1.25,0.34
0.49,-0.98,0.06,1.16,-0.04,0.0,0.95,0.02,1.26,0.35
0.55,0.37,-0.12,-0.67,0.02,-0.04,1.03,-0.11,1.25,0.37
0.6,-0.18,-1.04,2.38,-0.05,0.0,0.98,0.0,1.25,0.36
0.65,0.12,0.18,-0.98,0.03,-0.04,1.05,-0.1,1.24,0.35
0.71,0.37,-0.98,2.38,-0.04,0.02,0.98,-0.05,1.25,0.34
0.76,0.43,-0.61,-3.66,0.03,-0.06,1.04,-0.09,1.25,0.35
0.82,-0.37,-0.61,3.48,-0.03,0.02,0.97,-0.06,1.27,0.3
0.87,0.24,0.73,-2.14,0.03,-0.02,1.02,-0.01,1.25,0.32
0.93,-0.06,-0.85,1.1,-0.04,-0.0,0.97,-0.1,1.28,0.3
0.98,0.24,-1.1,-1.95,0.05,-0.03,1.03,0.0,1.27,0.32
1.04,0.49,-1.59,2.26,-0.02,-0.0,1.01,-0.11,1.29,0.32
1.09,-0.43,0.0,-0.85,0.01,-0.01,1.03,-0.01,1.27,0.33
1.14,0.43,0.31,-2.32,-0.03,-0.02,0.99,-0.14,1.3,0.3
