time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,-0.06,-0.31,-1.34,0.02,-0.03,1.04,0.0,1.12,0.05
0.05,0.0,-0.55,0.55,-0.02,-0.0,0.98,-0.09,1.14,0.03
0.11,-0.12,0.12,-1.04,0.01,-0.01,1.03,0.02,1.1,0.04
0.17,-0.12,-0.85,-1.65,0.01,-0.04,1.03,-0.1,1.12,0.04
0.22,0.37,0.24,-0.85,-0.02,-0.0,0.99,0.03,1.09,0.05
0.27,-0.12,0.31,-1.22,0.03,-0.02,0.96,-0.1,1.1,0.03
0.33,-0.18,-0.67,1.34,-0.02,0.01,0.95,0.01,1.1,0.04
0.38,-0.06,0.55,-2.69,-0.01,-0.04,1.0,-0.08,1.14,0.05
0.43,0.06,-0.37,2.44,-0.0,0.03,1.01,-0.02,1.14,0.04
0.49,-0.12,0.67,-3.11,0.01,-0.05,1.04,-0.05,1.12,0.03
0.54,0.06,-1.1,2.75,-0.01,0.01,1.0,-0.03,1.12,0.03
0.6,-0.43,1.1,-4.09,0.0,-0.04,1.03,-0.05,1.11,0.05
0.65,-0.24,-0.31,3.05,-0.01,0.01,1.02,-0.1,1.12,0.03
0.71,0.0,0.12,-1.89,0.0,-0.07,1.04,-0.02,1.1,0.07
0.76,-0.31,0.0,2.44,-0.01,0.0,1.01,-0.09,1.12,0.04
0.82,-0.12,-0.31,-0.73,0.0,-0.01,1.0,0.0,1.08,0.07
0.87,0.06,-0.06,-2.32,-0.01,-0.03,0.98,-0.1,1.08,0.05
0.92,0.12,0.49,0.37,-0.01,-0.03,0.98,0.0,1.08,0.05
0.98,0.06,-0.24,-1.1,-0.01,-0.0,1.02,-0.1,1.08,0.04
1.03,0.24,0.31,1.22,0.02,-0.02,0.99,-0.03,1.07,0.07
1.09,-0.18,-0.79,-2.2,0.02,-0.03,1.0,-0.07,1.09,0.07
1.14,-0.12,0.67,2.26,-0.02,0.02,0.99,-0.04,1.1,0.07
1.2,-0.06,-0.43,-1.28,0.04,-0.03,0.99,-0.05,1.08,0.06
1.25,-0.12,0.18,0.37,-0.04,-0.01,0.98,-0.09,1.12,0.08
1.3,0.31,-0.98,-0.67,0.02,-0.01,1.05,-0.02,1.12,0.1
1.36,0.06,0.92,0.67,-0.02,-0.02,0.98,-0.09,1.13,0.08
1.42,-0.12,-1.1,-0.06,0.01,-0.02,1.01,-0.01,1.11,0.11
1.47,0.06,0.55,-1.16,-0.02,-0.03,0.97,-0.14,1.13,0.1
1.52,0.06,-0.37,2.5,-0.01,0.02,1.06,-0.02,1.12,0.13
1.58,-0.06,0.61,-2.2,0.02,-0.06,0.98,-0.09,1.13,0.12
1.63,-0.06,-0.73,3.11,-0.02,0.02,1.06,-0.06,1.15,0.14
1.69,-0.12,-0.06,-2.81,0.02,-0.06,1.01,-0.1,1.16,0.15
1.74,-0.24,-0.43,3.3,-0.0,0.03,1.01,-0.04,1.17,0.13
1.79,-0.37,0.43,-3.42,0.02,-0.04,0.97,-0.07,1.14,0.13
1.85,-0.24,-0.12,3.23,-0.03,0.01,1.0,-0.09,1.15,0.11
1.9,-0.12,0.85,-2.87,0.01,-0.04,1.02,-0.03,1.13,0.14
1.96,-0.12,0.37,1.83,-0.02,0.01,1.03,-0.1,1.13,0.09
2.01,-0.18,0.18,-0.85,0.02,-0.02,1.02,-0.02,1.13,0.11
2.07,0.12,1.04,-1.1,-0.01,-0.02,1.02,-0.14,1.16,0.06
2.12,-0.24,0.61,-0.73,0.01,0.01,1.01,-0.02,1.17,0.08
2.17,0.0,0.73,-2.01,-0.01,-0.04,1.03,-0.14,1.19,0.04
2.23,-0.12,-1.28,3.72,0.0,0.01,0.99,-0.06,1.19,0.07
2.29,-0.06,0.73,-2.93,-0.01,-0.04,1.03,-0.13,1.19,0.05
2.34,-0.12,-1.4,2.62,0.01,0.01,1.04,-0.09,1.19,0.05
2.39,-0.37,0.06,-2.69,0.01,0.01,1.04,-0.1,1.19,0.04
2.45,-0.24,-0.79,3.23,0.01,-0.04,1.04,-0.1,1.2,0.04
2.5,-0.06,0.73,-2.81,0.02,0.02,0.98,-0.09,1.2,0.03
2.56,0.0,-0.43,0.79,0.01,-0.02,0.98,-0.14,1.23,0.04
2.61,0.06,0.24,-1.46,-0.0,-0.01,1.01,-0.05,1.21,0.04
2.66,-0.12,-0.24,0.0,0.01,-0.02,0.97,-0.14,1.23,0.08
2.72,-0.12,0.67,0.06,-0.04,0.0,0.98,-0.07,1.21,0.08
2.77,-0.18,0.24,-0.92,0.01,-0.02,0.99,-0.13,1.22,0.1
2.83,-0.31,0.43,2.2,-0.02,0.02,0.97,-0.04,1.23,0.1
2.89,-0.18,-0.12,-2.99,0.01,-0.06,0.96,-0.1,1.23,0.12
2.94,-0.31,-0.43,1.95,0.0,0.02,0.97,-0.08,1.25,0.11
3.0,-0.24,-0.31,-1.77,-0.0,-0.05,0.96,-0.09,1.25,0.12
3.05,-0.18,-0.37,2.81,0.0,-0.01,0.97,-0.12,1.29,0.13
3.1,0.0,0.12,-3.3,-0.0,-0.03,0.99,-0.07,1.29,0.13
3.15,-0.06,-1.4,2.5,0.01,0.0,0.97,-0.13,1.31,0.13
3.21,0.12,0.24,-1.65,0.01,-0.04,1.02,-0.05,1.29,0.12
3.27,-0.06,-0.12,2.32,-0.01,-0.0,0.98,-0.15,1.32,0.12
3.32,-0.12,0.73,-0.31,0.01,-0.01,1.02,-0.07,1.33,0.12
3.38,-0.12,0.06,-0.61,-0.02,-0.04,0.98,-0.17,1.34,0.11
3.43,-0.37,-0.73,1.77,0.02,-0.0,1.03,-0.04,1.31,0.12
3.49,-0.12,-0.31,-0.55,-0.01,-0.03,1.01,-0.14,1.31,0.11
3.54,-0.06,-0.61,2.01,0.02,-0.0,1.04,-0.05,1.3,0.12
3.59,-0.06,-0.43,-1.77,-0.01,-0.04,1.02,-0.14,1.31,0.11
3.64,0.06,-0.12,2.32,0.02,0.01,1.0,-0.09,1.31,0.1
3.7,-0.24,0.98,-2.44,-0.02,-0.05,0.98,-0.09,1.3,0.13
3.75,0.0,-0.55,3.42,0.01,0.02,1.0,-0.11,1.3,0.12
3.81,0.0,0.12,-3.17,-0.02,-0.04,0.99,-0.09,1.29,0.13
3.87,-0.12,-0.67,2.75,-0.02,-0.04,0.99,-0.15,1.3,0.1
3.92,0.06,1.04,-1.65,0.01,0.01,0.96,-0.08,1.28,0.12
3.97,-0.06,0.06,1.65,-0.01,-0.02,0.98,-0.19,1.3,0.09
4.02,-0.12,-0.18,0.37,0.01,-0.01,1.0,-0.08,1.28,0.1
4.08,0.06,0.12,-0.73,-0.01,-0.03,1.02,-0.2,1.3,0.08
4.13,-0.12,0.0,0.73,-0.0,0.0,1.0,-0.08,1.27,0.09
4.19,0.12,0.73,-1.77,-0.01,-0.04,1.01,-0.17,1.26,0.07
4.24,0.0,-0.49,2.5,-0.01,0.01,0.98,-0.1,1.25,0.09
4.3,0.06,0.49,-2.01,-0.01,0.01,0.98,-0.17,1.24,0.08
4.35,0.12,-0.12,2.14,-0.02,0.01,1.02,-0.14,1.24,0.1
4.41,-0.06,-0.49,-1.89,0.01,-0.05,1.05,-0.15,1.24,0.1
4.46,0.12,0.31,1.71,-0.02,0.02,1.04,-0.17,1.25,0.1
4.51,0.06,-0.31,-0.98,0.0,-0.03,1.07,-0.12,1.24,0.1
4.57,0.12,-0.24,-0.92,-0.01,-0.03,1.02,-0.18,1.25,0.1
4.62,-0.06,-0.79,-0.37,0.01,0.01,1.05,-0.12,1.26,0.1
