time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,-0.06,-0.06,0.24,0.01,-0.05,1.0,0.0,1.35,0.16
0.05,0.31,-0.43,-1.1,-0.06,0.0,0.95,0.11,1.31,0.15
0.11,0.18,-0.98,-0.73,-0.03,-0.02,0.95,-0.01,1.31,0.16
0.16,-0.06,-0.12,-0.98,-0.0,-0.02,0.98,0.09,1.31,0.19
0.22,0.0,-0.73,-0.92,-0.04,-0.02,0.97,-0.03,1.33,0.15
0.27,0.06,0.37,-1.28,0.02,0.0,1.0,0.13,1.29,0.17
0.33,0.12,-1.04,-1.28,-0.03,-0.02,0.98,-0.01,1.29,0.16
0.38,-0.06,-0.31,0.67,0.01,-0.02,1.05,0.1,1.29,0.18
0.43,0.0,0.0,-2.38,-0.03,-0.01,0.94,-0.01,1.3,0.17
0.49,0.0,-1.4,1.65,0.01,-0.0,0.98,0.08,1.3,0.18
0.55,0.06,-0.18,-2.87,-0.01,-0.04,0.97,-0.01,1.31,0.18
0.6,0.12,0.06,1.1,-0.01,0.02,0.98,0.08,1.32,0.18
0.65,-0.12,-0.43,-3.3,-0.02,-0.03,0.91,-0.01,1.3,0.17
0.7,0.06,-0.92,3.66,0.01,0.01,1.0,0.04,1.3,0.17
0.76,-0.06,0.18,-2.75,-0.02,-0.04,0.93,0.0,1.3,0.18
0.81,-0.18,-0.37,2.08,-0.0,0.01,1.01,0.05,1.3,0.17
0.87,-0.06,0.24,-2.26,0.01,-0.04,1.0,0.02,1.3,0.18
0.92,0.06,0.43,3.11,-0.02,0.02,0.99,-0.01,1.3,0.18
0.98,-0.24,-0.31,-3.6,-0.02,-0.05,0.92,0.02,1.27,0.16
1.03,-0.18,-0.92,2.93,0.01,-0.01,1.0,-0.03,1.27,0.16
1.09,0.18,-0.92,-1.71,-0.02,-0.04,0.95,0.03,1.25,0.16
1.14,0.0,-1.16,2.93,0.01,0.0,1.0,-0.03,1.25,0.13
1.2,-0.12,0.79,-1.16,-0.01,-0.02,0.96,0.02,1.22,0.12
1.25,-0.06,-0.31,-1.34,0.0,-0.03,0.98,-0.02,1.24,0.14
1.3,-0.24,0.73,1.16,0.0,0.01,0.99,0.02,1.23,0.12
1.36,-0.06,-0.18,-1.77,-0.01,-0.04,0.97,-0.03,1.22,0.12
1.41,0.12,1.04,2.87,0.0,0.01,0.96,0.01,1.23,0.09
1.47,0.0,0.79,-2.44,-0.01,-0.05,0.97,0.03,1.24,0.09
1.52,-0.06,0.0,3.05,-0.0,0.01,0.99,-0.02,1.24,0.05
1.57,0.06,1.1,-1.89,-0.02,-0.03,0.99,0.03,1.23,0.05
1.63,-0.12,-1.77,2.69,0.0,0.0,0.99,-0.03,1.24,0.04
1.68,-0.06,0.79,-1.59,0.0,-0.01,0.96,0.05,1.24,0.05
1.74,-0.12,0.06,0.55,-0.01,-0.02,1.01,-0.07,1.24,0.04
1.79,-0.24,0.43,1.28,0.02,-0.02,1.0,0.06,1.25,0.05
1.85,-0.31,0.06,0.79,-0.03,-0.03,1.03,-0.03,1.26,0.07
1.9,-0.18,0.12,0.37,0.03,0.0,1.02,0.06,1.22,0.07
1.96,0.0,-0.43,-1.46,-0.03,-0.03,1.06,-0.07,1.23,0.06
2.01,-0.06,-0.92,1.1,0.04,-0.01,1.02,0.05,1.21,0.07
2.07,-0.12,-0.24,-1.34,-0.01,-0.04,0.99,-0.07,1.25,0.05
2.12,-0.37,0.18,2.2,0.04,-0.01,1.02,0.02,1.24,0.05
2.17,0.0,-0.24,-1.04,-0.02,-0.02,1.0,-0.06,1.25,0.06
2.23,-0.18,-0.24,1.46,0.01,-0.01,0.99,0.03,1.21,0.04
2.28,-0.31,0.37,-1.77,0.0,-0.05,1.01,-0.08,1.24,0.04
2.34,0.12,-0.31,3.11,-0.01,0.02,1.01,-0.01,1.21,0.03
2.39,0.06,-0.55,-3.23,0.01,-0.05,1.01,-0.03,1.18,0.03
2.44,-0.12,-0.49,2.69,-0.02,0.01,0.96,-0.04,1.18,0.03
2.5,-0.12,0.92,-2.01,-0.0,-0.04,1.0,-0.03,1.18,0.03
2.55,-0.12,-0.43,2.69,-0.02,0.01,1.01,-0.06,1.19,0.02
2.61,0.18,-0.18,-2.01,0.02,-0.02,0.99,0.02,1.16,0.02
2.67,-0.06,-0.79,2.81,-0.0,-0.01,1.03,-0.06,1.17,0.02
2.72,-0.24,-0.43,-1.28,-0.0,-0.0,0.97,0.01,1.17,0.03
2.77,-0.18,0.37,-0.31,-0.04,-0.01,1.0,-0.12,1.19,0.02
2.83,-0.06,-0.24,1.46,-0.0,-0.01,0.95,0.02,1.16,-0.0
2.88,-0.24,0.55,0.61,-0.03,-0.02,0.99,-0.08,1.17,-0.0
2.94,0.0,-0.43,0.98,-0.0,0.01,1.0,0.01,1.18,0.01
2.99,-0.12,0.67,-1.83,-0.0,0.01,1.0,-0.09,1.16,0.01
3.05,-0.18,-0.61,2.08,-0.03,-0.01,0.98,0.0,1.17,0.01
3.1,0.0,-0.12,-1.46,0.02,-0.0,0.96,-0.09,1.17,0.03
3.15,-0.06,-0.98,2.56,0.01,-0.01,1.01,-0.01,1.14,0.01
3.21,-0.12,0.0,-2.01,-0.02,-0.04,1.03,-0.1,1.15,-0.0
3.26,-0.24,-0.43,2.08,0.01,0.01,0.99,-0.01,1.14,-0.0
3.32,0.12,-0.24,-1.46,-0.02,-0.03,1.0,-0.1,1.15,-0.0
3.37,-0.31,0.0,2.81,0.01,0.0,0.96,-0.02,1.15,-0.0
3.42,0.0,0.37,-2.99,-0.01,-0.04,1.01,-0.1,1.17,0.03
3.48,-0.31,-0.55,1.89,0.0,0.0,0.97,-0.05,1.17,0.02
3.53,0.0,0.31,-0.98,0.01,-0.04,1.04,-0.05,1.18,0.02
3.59,-0.24,-0.55,1.89,-0.01,0.02,0.99,-0.09,1.18,0.01
3.65,0.18,-0.43,-2.2,-0.0,-0.01,1.0,-0.03,1.15,0.03
3.7,0.12,-0.06,0.18,-0.01,-0.02,1.0,-0.07,1.18,-0.0
3.75,-0.31,-0.98,0.12,0.01,-0.0,0.99,-0.01,1.14,0.02
3.81,-0.24,0.24,-1.4,-0.01,-0.04,0.97,-0.1,1.14,0.01
3.86,-0.31,-1.53,1.53,-0.0,0.0,1.01,-0.04,1.15,0.02
3.91,-0.06,-1.46,-1.46,0.02,-0.04,0.99,-0.06,1.13,-0.0
3.97,-0.43,0.92,2.38,-0.05,-0.0,0.95,-0.1,1.16,0.03
4.02,0.06,-1.59,-1.83,0.01,-0.03,0.97,-0.03,1.15,0.01
4.08,-0.18,1.53,2.5,-0.04,-0.01,0.96,-0.15,1.17,0.03
4.13,-0.43,1.34,-0.06,0.02,-0.03,0.98,-0.03,1.16,0.02
4.19,0.06,-0.24,-1.89,-0.03,-0.02,0.97,-0.15,1.18,0.04
4.24,-0.43,-0.67,0.24,-0.0,-0.01,0.98,-0.04,1.18,0.03
4.3,0.18,-0.06,-1.89,-0.0,-0.02,0.98,-0.13,1.2,0.04
4.35,-0.06,0.24,0.73,-0.0,-0.02,0.98,-0.04,1.19,0.02
4.4,0.24,0.55,-3.6,0.0,-0.0,0.97,-0.13,1.21,0.05
4.46,0.0,-0.67,3.11,0.02,-0.04,0.98,-0.09,1.21,0.05
4.52,-0.31,-0.24,-2.5,-0.0,-0.04,1.0,-0.12,1.22,0.09
