time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,0.0,0.06,-0.06,0.0,0.0,1.0,0.0,-0.01,0.29
0.0,-0.06,0.06,-0.06,0.01,0.0,1.0,0.0,-0.01,0.29
0.06,0.0,0.06,-0.06,0.01,0.0,1.0,0.0,-0.01,0.28
0.11,-0.06,0.06,-0.06,0.01,0.0,1.0,0.0,-0.01,0.28
0.17,-0.06,0.0,-0.06,0.01,0.0,1.0,0.0,-0.01,0.28
0.22,-0.06,0.06,-0.06,0.01,0.0,1.0,0.0,-0.01,0.28
0.27,0.0,0.06,-0.06,0.01,0.0,1.0,0.0,-0.01,0.28
0.33,-0.06,0.06,-0.06,0.01,0.0,1.0,0.0,-0.01,0.28
0.38,-0.06,0.06,-0.06,0.01,0.0,1.0,0.0,-0.01,0.28
0.44,-0.06,0.06,-0.12,0.01,0.0,1.0,0.0,-0.01,0.27
0.49,0.0,0.06,-0.12,0.0,0.0,1.0,0.0,-0.01,0.27
0.55,0.0,0.06,0.0,0.01,0.0,1.0,0.0,-0.01,0.27
0.6,0.0,0.06,0.06,0.01,0.0,1.0,0.0,-0.02,0.27
0.65,0.0,0.06,-0.06,0.01,0.0,1.0,0.0,-0.02,0.27
0.71,-0.06,0.06,-0.06,0.01,0.0,1.0,0.0,-0.02,0.27
0.76,0.0,0.06,-0.06,0.01,0.0,1.0,0.0,-0.02,0.27
0.82,0.0,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.27
0.87,-0.06,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.27
0.93,0.0,0.06,0.0,0.01,0.0,1.0,0.0,-0.02,0.27
0.98,0.0,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.27
1.03,-0.06,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.27
1.09,0.0,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.28
1.14,-0.06,0.06,-0.06,0.01,0.0,1.0,0.0,-0.02,0.28
1.2,0.0,0.06,-0.06,0.01,0.0,1.0,0.0,-0.02,0.28
1.25,-0.06,0.06,-0.06,0.01,0.0,1.0,0.0,-0.02,0.28
1.31,0.0,0.06,-0.06,0.01,0.0,1.0,0.0,-0.02,0.28
1.36,0.0,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.28
1.41,0.0,0.06,-0.06,0.01,0.0,1.0,0.0,-0.03,0.28
1.47,0.0,0.06,-0.06,0.01,0.0,1.0,0.0,-0.03,0.28
1.52,0.0,0.06,-0.06,0.0,0.0,1.0,0.0,-0.03,0.28
1.58,-0.06,0.06,0.0,0.01,0.0,1.0,0.0,-0.03,0.27
1.63,-0.06,0.06,-0.06,0.01,0.0,1.0,0.0,-0.03,0.27
1.68,-0.06,0.06,-0.18,0.01,0.0,1.0,0.0,-0.03,0.27
1.74,-0.06,0.06,-0.06,0.0,-0.0,1.0,0.0,-0.02,0.27
1.79,-0.06,0.06,0.06,0.01,0.0,1.0,0.0,-0.02,0.27
1.85,0.0,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.27
1.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.02,0.28
1.96,-0.06,0.0,0.06,0.01,0.0,1.0,0.0,-0.02,0.28
2.01,-0.06,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.29
2.06,-0.06,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.29
2.12,0.0,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.29
2.17,-0.06,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.29
2.23,-0.06,0.0,0.0,0.0,0.0,1.0,0.0,-0.02,0.29
2.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.01,0.29
2.34,-0.06,0.06,-0.06,0.01,0.0,1.0,0.0,-0.02,0.29
2.39,0.0,0.06,-0.12,0.01,0.0,1.0,0.0,-0.02,0.29
2.45,0.0,0.06,-0.06,0.01,0.0,1.0,0.0,-0.02,0.29
2.5,-0.06,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.29
2.55,0.0,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.29
2.61,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.02,0.29
2.66,0.0,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.29
2.72,0.0,0.06,0.0,0.01,0.0,1.0,0.0,-0.02,0.29
2.77,-0.06,0.0,0.0,0.01,0.0,1.0,0.0,-0.02,0.29
2.82,-0.06,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.3
2.88,-0.06,-0.06,-0.06,0.01,0.0,1.0,0.0,-0.02,0.3
2.93,0.0,0.0,-0.06,0.01,0.0,1.0,0.0,-0.01,0.3
2.99,-0.06,0.0,-0.06,0.01,0.0,1.0,0.0,-0.01,0.3
3.04,0.0,0.0,-0.06,0.0,0.0,1.0,0.0,-0.01,0.3
3.1,0.0,0.0,-0.06,0.0,0.0,1.0,0.0,-0.02,0.3
3.15,-0.06,0.0,0.0,0.01,0.0,1.0,0.0,-0.02,0.31
3.2,0.0,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.31
3.26,0.0,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.31
3.31,-0.06,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.31
3.37,0.0,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.31
3.42,-0.06,0.0,-0.06,0.01,0.0,1.0,0.0,-0.02,0.31
