time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,0.0,-0.12,0.31,0.01,0.0,1.0,0.0,-0.15,0.42
0.0,0.0,0.24,-0.24,0.0,0.01,1.0,0.0,-0.15,0.42
0.06,0.06,0.12,-0.06,0.01,0.0,1.0,0.0,-0.16,0.4
0.11,0.0,0.0,0.18,0.02,0.0,1.0,0.0,-0.16,0.4
0.17,0.06,-0.18,-0.24,0.01,0.01,0.99,0.0,-0.15,0.42
0.22,0.0,-0.12,-0.06,0.0,0.0,1.0,0.0,-0.16,0.42
0.27,0.06,0.24,0.0,0.0,0.0,1.0,0.0,-0.15,0.41
0.33,0.0,0.12,0.06,0.02,0.01,1.0,0.0,-0.16,0.4
0.38,-0.06,0.06,-0.49,0.0,-0.0,1.0,0.0,-0.16,0.41
0.44,-0.06,-0.06,0.37,0.01,0.0,1.0,0.0,-0.15,0.4
0.49,0.06,0.12,-0.24,0.01,0.01,1.0,0.0,-0.15,0.4
0.54,0.0,-0.06,0.12,0.01,-0.0,1.0,0.0,-0.16,0.41
0.6,-0.06,0.06,-0.12,0.01,-0.0,1.0,0.0,-0.15,0.41
0.65,0.06,-0.12,-0.06,0.01,-0.0,1.0,0.0,-0.15,0.42
0.71,0.06,0.12,-0.31,0.01,0.01,1.0,0.0,-0.16,0.41
0.76,0.06,0.18,0.0,0.0,-0.0,1.0,0.0,-0.15,0.4
0.82,-0.06,0.06,0.18,0.02,0.01,1.0,0.0,-0.15,0.4
0.87,-0.06,0.0,-0.49,0.0,0.0,1.0,0.0,-0.16,0.41
0.93,-0.06,0.12,0.12,0.01,-0.0,1.0,-0.01,-0.15,0.4
0.98,0.06,0.0,0.12,0.01,0.01,0.99,-0.01,-0.15,0.4
1.03,-0.12,0.0,-0.31,0.01,0.0,1.0,-0.01,-0.16,0.41
1.09,0.0,0.18,-0.06,0.0,0.0,1.0,-0.01,-0.15,0.4
1.14,0.06,0.06,0.31,0.02,0.0,1.0,-0.01,-0.15,0.4
1.2,-0.06,0.0,-0.18,0.01,0.0,1.0,-0.01,-0.16,0.41
1.25,0.0,-0.18,0.12,0.01,0.0,1.0,-0.01,-0.15,0.42
1.3,0.0,0.18,-0.12,0.01,0.0,1.0,-0.01,-0.16,0.41
1.36,0.0,0.06,0.0,0.01,0.0,1.0,-0.01,-0.15,0.41
1.41,0.0,0.12,0.0,0.01,0.0,1.0,-0.01,-0.15,0.41
1.47,-0.06,0.0,-0.12,0.01,0.0,1.0,-0.01,-0.16,0.41
1.52,0.0,-0.06,-0.18,0.01,0.0,1.0,-0.01,-0.16,0.42
1.58,0.0,-0.06,0.06,0.01,0.0,1.0,-0.01,-0.15,0.42
1.63,0.0,0.0,0.06,0.02,0.01,1.0,-0.01,-0.15,0.41
1.68,0.0,0.06,-0.12,0.0,0.0,1.0,-0.01,-0.16,0.42
1.74,-0.06,0.06,0.12,0.01,0.0,1.0,-0.01,-0.16,0.41
1.79,0.06,0.06,-0.31,0.01,0.01,1.0,-0.01,-0.16,0.41
1.85,0.0,-0.12,0.31,0.01,-0.0,1.0,-0.01,-0.16,0.42
1.9,-0.06,0.12,-0.31,0.0,0.0,1.0,-0.01,-0.15,0.41
1.96,0.0,0.12,0.06,0.01,0.0,1.0,-0.01,-0.15,0.41
2.01,0.0,-0.06,-0.12,0.01,0.0,1.0,-0.01,-0.16,0.42
2.06,0.0,0.0,-0.18,0.0,0.0,1.0,-0.01,-0.15,0.41
2.12,0.0,0.06,0.0,0.01,0.01,1.0,-0.01,-0.15,0.41
2.17,0.06,0.0,-0.06,0.01,0.0,1.0,-0.01,-0.16,0.41
2.23,0.0,-0.06,0.12,0.01,-0.0,1.0,-0.01,-0.16,0.4
2.28,0.0,0.12,-0.37,0.01,0.01,1.0,-0.01,-0.16,0.41
2.34,-0.06,-0.18,0.31,0.01,-0.0,1.0,-0.01,-0.16,0.41
2.39,0.0,0.06,-0.61,0.01,-0.0,1.0,-0.02,-0.16,0.41
2.44,-0.06,0.06,0.49,0.01,0.0,1.0,-0.02,-0.16,0.41
2.5,0.0,-0.12,-0.12,0.01,0.0,0.99,-0.02,-0.16,0.42
2.55,-0.18,0.0,-0.12,0.0,0.0,1.0,-0.02,-0.16,0.42
2.61,0.18,0.37,-0.06,0.01,0.0,1.0,-0.02,-0.16,0.4
2.66,0.06,0.0,0.12,0.01,0.0,1.0,-0.02,-0.17,0.41
2.72,0.0,0.06,-0.12,0.01,0.0,1.0,-0.02,-0.16,0.41
2.77,-0.06,-0.12,0.0,0.0,0.01,1.0,-0.02,-0.16,0.42
2.82,0.0,-0.12,0.31,0.01,0.0,1.0,-0.02,-0.16,0.41
2.88,0.0,-0.12,-0.37,0.01,0.0,1.0,-0.02,-0.16,0.42
2.93,-0.06,-0.12,0.0,0.0,0.0,1.0,-0.02,-0.16,0.43
2.99,0.06,0.12,-0.06,0.01,0.01,1.0,-0.02,-0.16,0.42
3.04,0.0,0.18,0.18,0.02,0.0,1.0,-0.02,-0.16,0.42
3.1,0.0,0.12,-0.12,0.01,0.0,1.0,-0.02,-0.16,0.42
3.15,0.0,0.0,0.18,0.01,0.01,1.0,-0.02,-0.16,0.42
3.21,0.0,0.18,-0.37,0.01,-0.0,1.0,-0.02,-0.16,0.41
3.26,0.0,-0.06,0.37,0.01,0.0,1.0,-0.02,-0.16,0.41
3.31,0.0,0.12,0.0,0.01,0.0,1.0,-0.02,-0.16,0.41
3.37,0.06,-0.12,-0.06,0.01,0.0,1.0,-0.02,-0.16,0.42
3.42,-0.12,0.06,-0.06,0.01,0.0,1.0,-0.02,-0.16,0.42
3.48,0.0,0.12,-0.12,0.0,0.0,1.0,-0.02,-0.16,0.42
3.53,0.0,0.06,0.31,0.02,0.0,1.0,-0.02,-0.16,0.41
3.59,0.0,0.12,-0.43,0.01,0.0,1.0,-0.02,-0.16,0.41
3.64,-0.06,-0.06,0.31,0.01,-0.0,1.0,-0.02,-0.16,0.41
3.69,0.0,0.12,-0.31,0.01,0.01,1.0,-0.02,-0.16,0.41
3.75,0.0,0.18,0.06,0.01,-0.0,0.99,-0.02,-0.16,0.4
3.8,0.18,-0.12,0.18,0.01,0.0,1.0,-0.02,-0.15,0.4
3.86,-0.06,-0.12,-0.24,0.01,0.0,1.0,-0.02,-0.16,0.42
3.91,0.0,0.18,-0.12,-0.0,-0.0,1.0,-0.02,-0.15,0.4
3.97,0.12,0.12,0.24,0.01,0.01,1.0,-0.02,-0.15,0.39
4.02,-0.06,0.06,-0.24,0.01,0.0,1.0,-0.02,-0.16,0.4
4.07,-0.12,-0.18,-0.12,0.01,0.0,1.0,-0.02,-0.15,0.41
4.13,0.0,0.18,0.06,0.01,0.0,1.0,-0.02,-0.15,0.4
4.18,0.06,0.06,-0.12,0.01,0.0,1.0,-0.02,-0.15,0.4
4.24,0.0,0.12,0.0,0.01,0.0,1.0,-0.02,-0.15,0.4
4.29,-0.06,0.06,0.0,0.01,0.01,1.0,-0.02,-0.14,0.4
4.35,-0.06,0.06,-0.24,0.01,0.0,1.0,-0.02,-0.15,0.4
4.4,0.0,0.06,0.12,-0.0,-0.0,1.0,-0.02,-0.15,0.4
4.45,0.12,0.06,0.18,0.02,0.01,1.0,-0.02,-0.15,0.4
4.51,-0.06,0.06,-0.31,0.01,-0.0,1.0,-0.02,-0.15,0.4
4.56,0.0,0.0,0.18,0.01,-0.0,1.0,-0.02,-0.15,0.4
4.62,0.06,0.06,-0.43,0.01,0.01,1.0,-0.02,-0.15,0.4
4.68,0.0,-0.06,0.0,0.0,0.0,0.99,-0.02,-0.15,0.41
4.73,0.0,0.12,-0.12,0.0,0.0,0.99,-0.03,-0.15,0.4
4.79,-0.06,0.06,0.06,0.02,0.0,1.0,-0.03,-0.15,0.4
4.84,-0.12,-0.24,-0.06,0.01,0.0,0.99,-0.03,-0.15,0.41
4.9,0.0,0.06,-0.37,0.0,0.0,1.0,-0.03,-0.15,0.41
4.95,0.06,0.06,0.55,0.01,-0.0,1.0,-0.02,-0.15,0.4
5.0,0.12,0.18,-0.31,0.01,0.01,1.0,-0.02,-0.15,0.4
5.06,0.0,0.12,0.06,0.01,0.0,0.99,-0.02,-0.16,0.39
5.11,0.06,-0.43,-0.49,0.01,0.01,0.95,-0.02,-0.16,0.41
5.17,0.92,3.3,-4.46,0.0,0.03,1.01,-0.22,-0.2,0.29
5.22,-1.77,3.48,-10.13,0.03,0.1,1.0,-0.56,-0.3,0.13
5.28,-0.98,3.48,-5.98,0.01,0.09,1.02,-1.07,-0.25,-0.01
5.33,-0.37,2.69,-5.68,-0.01,0.01,1.04,-1.35,-0.24,-0.15
5.38,-0.37,2.69,-9.03,-0.03,-0.04,1.0,-1.7,-0.23,-0.31
5.44,-0.49,2.26,-9.16,0.0,-0.01,0.99,-2.27,-0.13,-0.5
5.49,-0.06,3.48,-1.65,-0.01,0.03,0.97,-2.53,-0.12,-0.64
5.55,-0.98,3.48,5.86,0.02,0.02,0.98,-2.39,-0.07,-0.84
5.6,-2.5,1.65,4.33,0.05,0.02,1.02,-2.11,-0.03,-0.91
5.66,-3.54,-0.12,2.5,0.05,0.02,1.02,-1.95,0.19,-0.91
5.71,-5.8,0.49,1.04,0.03,-0.05,1.0,-1.87,0.48,-0.85
5.76,-3.91,0.92,9.83,0.01,-0.09,0.99,-1.63,0.81,-0.86
5.82,-1.77,0.73,8.0,-0.1,-0.13,0.98,-1.08,1.05,-1.01
5.87,-1.1,1.77,-4.58,-0.06,-0.15,0.99,-0.96,1.4,-1.21
