time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,0.0,0.24,-0.24,0.0,0.01,1.0,0.0,-0.23,0.26
0.0,-0.06,0.0,0.12,0.0,0.01,1.01,0.0,-0.23,0.26
0.05,0.0,0.06,0.06,0.0,0.0,0.99,0.0,-0.23,0.26
0.11,0.0,-0.18,0.12,0.01,0.01,1.0,0.0,-0.22,0.26
0.16,0.12,0.0,-0.37,0.0,-0.0,1.0,0.0,-0.24,0.27
0.21,-0.06,0.06,0.12,0.0,0.01,1.0,0.0,-0.23,0.26
0.27,-0.18,0.06,0.12,0.01,0.01,0.99,0.0,-0.23,0.26
0.32,-0.06,0.12,-0.43,0.01,-0.0,1.0,0.0,-0.23,0.26
0.38,-0.06,-0.24,0.43,0.01,0.0,0.99,0.0,-0.21,0.26
0.43,0.0,0.12,-0.43,0.01,0.0,0.99,0.0,-0.22,0.26
0.49,0.0,-0.24,0.24,0.01,0.0,0.99,0.0,-0.22,0.26
0.54,0.0,0.12,0.0,0.01,0.0,1.0,0.0,-0.22,0.26
0.59,-0.12,0.12,0.0,0.01,0.01,0.98,0.0,-0.21,0.26
0.65,0.0,0.0,-0.18,0.0,0.01,1.0,0.0,-0.23,0.27
0.7,-0.06,0.0,0.06,0.0,0.0,1.0,0.0,-0.22,0.26
0.76,-0.18,0.0,0.06,0.01,0.0,1.0,0.0,-0.21,0.26
0.81,-0.12,-0.06,-0.18,-0.0,0.0,1.0,0.0,-0.21,0.27
0.87,0.06,0.06,0.37,0.01,0.0,0.99,0.0,-0.21,0.26
0.92,0.0,0.0,-0.61,0.0,0.01,1.0,-0.01,-0.21,0.26
0.97,0.0,-0.24,0.61,0.01,0.0,0.99,0.0,-0.21,0.27
1.03,0.0,0.06,-0.49,0.0,-0.0,1.01,0.0,-0.21,0.27
1.08,0.06,-0.06,0.24,0.01,0.0,1.0,0.0,-0.2,0.26
1.14,-0.06,0.0,-0.06,0.0,0.01,0.99,0.0,-0.21,0.27
1.19,0.06,-0.18,-0.31,0.01,-0.0,0.99,0.0,-0.22,0.27
1.25,0.06,0.31,-0.06,0.01,-0.0,0.99,0.0,-0.21,0.27
1.3,0.0,-0.06,0.18,0.0,0.0,0.99,0.0,-0.21,0.28
1.35,0.0,0.18,-0.43,0.01,0.01,1.0,0.0,-0.21,0.27
1.41,-0.06,-0.18,0.37,0.0,0.01,0.99,0.0,-0.21,0.28
1.46,-0.06,0.0,-0.37,0.01,0.0,1.0,0.0,-0.21,0.27
1.52,-0.06,0.0,-0.12,0.0,0.0,1.0,0.0,-0.21,0.28
1.57,0.0,0.12,0.31,0.01,0.01,1.0,0.0,-0.21,0.27
1.63,-0.06,0.0,-0.12,0.0,0.01,1.0,0.0,-0.21,0.27
1.68,0.0,-0.06,0.31,0.01,0.0,0.99,0.0,-0.21,0.27
1.73,0.12,0.0,-0.55,0.01,0.0,1.0,-0.01,-0.21,0.27
1.79,0.06,-0.18,0.31,0.0,0.01,0.99,-0.01,-0.22,0.28
1.84,0.12,0.0,-0.43,0.0,-0.0,1.0,-0.01,-0.23,0.28
1.9,0.12,-0.12,0.0,0.01,0.01,0.98,-0.01,-0.22,0.27
1.95,0.12,0.18,-0.06,0.0,0.01,1.0,-0.01,-0.23,0.27
2.01,0.0,-0.12,0.0,0.0,0.01,1.0,-0.01,-0.22,0.28
2.06,0.0,0.12,0.06,0.01,-0.0,1.0,-0.01,-0.22,0.27
2.11,0.06,0.06,0.12,0.0,0.01,0.99,-0.01,-0.22,0.27
2.17,-0.06,-0.12,-0.37,0.0,0.01,0.99,-0.01,-0.23,0.29
2.22,0.06,0.24,-0.18,-0.0,0.0,1.0,-0.01,-0.21,0.27
2.28,0.06,-0.06,0.06,0.01,0.0,0.99,-0.01,-0.22,0.29
2.33,-0.12,-0.18,-0.31,0.01,0.0,1.0,-0.02,-0.22,0.29
2.39,0.0,0.24,0.06,-0.0,0.0,1.0,-0.02,-0.21,0.27
2.44,-0.12,0.24,0.06,0.02,0.01,0.99,-0.02,-0.21,0.26
2.5,0.0,-0.18,-0.31,0.0,0.0,1.0,-0.02,-0.22,0.29
2.55,0.0,0.12,-0.18,0.0,0.0,0.99,-0.02,-0.21,0.27
2.6,-0.06,0.0,0.24,0.01,0.01,1.0,-0.02,-0.21,0.27
