time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,-0.06,0.0,-0.06,0.01,-0.16,0.99,0.0,9.57,0.37
0.0,0.06,0.06,-0.12,-0.0,-0.17,0.99,0.0,9.56,0.36
0.06,0.06,0.12,-0.06,0.01,-0.17,0.98,0.0,9.57,0.35
0.11,-0.06,0.0,0.0,0.01,-0.16,0.98,0.0,9.57,0.36
0.17,-0.06,-0.06,-0.18,0.0,-0.17,0.99,0.0,9.57,0.36
0.22,0.06,0.0,0.12,0.01,-0.17,0.99,0.0,9.58,0.35
0.28,0.06,0.0,0.0,0.01,-0.16,0.99,0.0,9.57,0.36
0.33,-0.06,0.0,-0.18,0.01,-0.17,0.99,0.0,9.57,0.36
0.39,0.0,-0.06,0.18,0.01,-0.16,0.99,0.0,9.58,0.36
0.44,0.0,-0.06,0.0,0.01,-0.16,0.99,0.0,9.57,0.36
0.49,0.06,0.0,-0.37,0.0,-0.17,0.99,0.0,9.56,0.36
0.55,0.0,0.06,0.06,0.01,-0.17,0.98,0.0,9.57,0.35
0.6,0.0,0.0,0.18,0.01,-0.16,0.98,0.0,9.58,0.35
0.66,-0.12,-0.06,-0.31,0.0,-0.16,0.98,0.0,9.57,0.36
0.71,-0.06,0.0,0.0,0.01,-0.17,0.98,0.0,9.58,0.35
0.77,0.0,0.0,-0.06,0.01,-0.16,0.98,0.0,9.59,0.35
0.82,-0.12,0.0,-0.12,0.0,-0.16,0.99,0.0,9.57,0.36
0.87,0.0,0.06,-0.18,0.0,-0.17,0.98,0.0,9.58,0.35
0.93,0.0,0.06,-0.31,0.0,-0.17,0.98,0.0,9.59,0.35
0.99,-0.12,-0.06,-0.18,0.0,-0.16,0.98,0.0,9.58,0.36
1.04,-0.12,0.0,0.12,0.0,-0.17,0.98,0.0,9.59,0.36
1.09,0.0,0.06,0.12,0.01,-0.16,0.99,0.0,9.59,0.36
1.15,0.0,0.06,-0.31,0.01,-0.16,0.98,0.0,9.58,0.36
1.2,-0.06,0.06,0.0,-0.0,-0.17,0.98,0.0,9.59,0.36
1.26,0.06,0.0,-0.06,0.02,-0.16,0.98,0.0,9.59,0.36
