time,Wx,Wy,Wz,Ax,Ay,Az,Yaw,Pitch,Roll
0.0,0.0,0.0,-0.31,0.0,-0.17,0.98,0.0,9.63,0.13
0.0,0.0,0.18,-0.31,-0.0,-0.18,0.98,0.0,9.65,0.13
0.05,0.12,-0.06,0.43,0.0,-0.16,0.99,0.0,9.64,0.13
0.1,0.06,0.06,-0.18,0.0,-0.18,0.98,0.0,9.64,0.13
0.16,-0.12,-0.18,0.0,0.0,-0.18,0.98,0.01,9.65,0.14
0.21,0.12,0.12,-0.12,-0.0,-0.16,0.99,0.01,9.63,0.14
0.27,0.12,-0.12,-0.37,0.01,-0.15,0.99,0.01,9.62,0.14
0.32,-0.06,0.12,0.49,0.01,-0.16,0.98,-0.02,9.65,0.13
0.38,0.0,-0.06,-0.43,0.01,-0.16,0.98,0.0,9.63,0.14
0.43,0.06,-0.31,0.31,0.0,-0.18,0.99,0.0,9.64,0.15
0.48,0.0,0.0,-0.67,-0.0,-0.15,0.98,0.0,9.65,0.15
0.54,0.18,0.18,0.31,0.0,-0.16,0.98,-0.01,9.62,0.14
0.59,-0.06,0.0,-0.06,0.0,-0.18,0.98,-0.01,9.63,0.14
0.65,-0.06,-0.18,0.06,-0.0,-0.16,0.98,-0.01,9.64,0.14
0.71,-0.31,0.31,-0.31,-0.0,-0.17,0.99,-0.01,9.64,0.13
0.76,0.0,0.06,0.06,0.01,-0.17,0.99,-0.01,9.64,0.13
0.81,-0.12,0.0,0.12,0.0,-0.17,0.98,-0.01,9.65,0.13
0.87,0.0,-0.06,0.06,-0.0,-0.16,0.99,-0.01,9.64,0.14
0.92,0.12,-0.06,0.0,0.01,-0.16,0.98,-0.01,9.62,0.14
0.98,-0.12,0.0,-0.49,-0.0,-0.17,0.99,-0.01,9.64,0.14
1.03,0.12,0.12,0.18,0.0,-0.16,0.98,-0.04,9.64,0.13
1.08,0.12,-0.12,0.37,0.01,-0.17,0.99,-0.02,9.63,0.14
1.14,-0.18,-0.12,-0.37,-0.0,-0.17,0.99,-0.02,9.64,0.14
1.19,0.0,0.12,-0.06,0.0,-0.16,0.99,-0.02,9.64,0.14
1.25,0.0,0.12,-0.06,0.01,-0.16,0.98,-0.02,9.63,0.14
1.31,-0.06,0.12,-0.24,-0.0,-0.18,0.98,-0.02,9.63,0.13
1.36,0.12,-0.06,0.06,0.01,-0.17,0.98,-0.02,9.65,0.13
1.41,-0.24,0.06,-0.12,0.01,-0.16,0.98,-0.02,9.64,0.14
1.47,0.06,-0.24,-0.31,-0.01,-0.17,0.98,-0.02,9.64,0.15
1.52,0.12,0.06,0.24,0.0,-0.17,0.98,-0.02,9.64,0.14
1.57,0.06,0.0,0.12,0.01,-0.16,0.98,-0.02,9.62,0.15
1.63,-0.18,0.12,-0.12,0.0,-0.17,0.99,-0.02,9.63,0.15
1.68,0.06,-0.12,0.06,0.0,-0.17,0.98,-0.02,9.64,0.15
1.74,-0.06,0.0,-0.12,0.01,-0.16,0.99,-0.03,9.62,0.15
1.79,0.06,0.06,-0.12,-0.0,-0.18,0.98,-0.03,9.64,0.15
1.84,0.12,0.06,0.43,0.01,-0.16,0.99,-0.03,9.64,0.14
1.9,-0.06,-0.12,-0.55,0.0,-0.16,0.99,-0.02,9.62,0.15
1.95,-0.06,0.0,0.12,-0.01,-0.17,0.99,-0.04,9.63,0.15
2.01,0.06,0.31,-0.06,0.01,-0.17,0.98,-0.04,9.64,0.14
2.06,0.12,-0.18,0.31,0.01,-0.16,0.98,-0.03,9.63,0.15
2.12,-0.12,0.0,-0.92,-0.0,-0.17,0.98,-0.06,9.62,0.16
2.17,0.0,0.06,0.43,-0.0,-0.16,0.99,-0.06,9.64,0.14
2.23,-0.18,0.24,-0.06,0.02,-0.16,0.98,-0.06,9.62,0.13
2.28,-0.12,-0.06,-0.55,-0.0,-0.19,0.98,-0.07,9.64,0.14
2.33,0.0,0.12,0.49,0.01,-0.16,0.98,-0.07,9.65,0.14
2.39,-0.12,-0.18,-0.55,-0.0,-0.16,0.99,-0.05,9.62,0.15
2.45,-0.06,0.12,-0.18,-0.0,-0.17,0.98,-0.09,9.62,0.15
2.5,0.12,0.18,-0.24,0.01,-0.17,0.98,-0.1,9.65,0.14
2.55,-0.06,-0.31,0.61,0.01,-0.16,0.98,-0.08,9.64,0.16
2.62,-0.06,-0.18,-0.98,-0.01,-0.17,0.98,-0.09,9.63,0.17
2.67,0.06,0.12,0.31,-0.01,-0.17,0.98,-0.11,9.64,0.15
2.72,-0.06,0.18,-0.12,0.01,-0.16,0.98,-0.11,9.62,0.15
2.78,0.0,-0.24,0.06,0.01,-0.18,0.98,-0.11,9.63,0.16
2.84,0.0,-0.24,-0.12,-0.0,-0.16,0.99,-0.11,9.64,0.18
2.88,0.12,0.06,0.12,0.0,-0.16,0.98,-0.11,9.62,0.16
2.94,-0.06,0.31,-0.31,0.0,-0.17,0.99,-0.11,9.62,0.15
2.99,0.0,-0.12,0.55,0.01,-0.17,0.98,-0.11,9.64,0.15
3.05,0.43,-0.55,-0.43,-0.0,-0.19,0.92,-0.1,9.64,0.17
3.1,8.91,0.12,-1.83,-0.01,-0.1,1.0,-0.14,9.42,0.28
3.16,10.93,1.95,-5.13,0.01,-0.03,1.01,-0.35,8.77,0.26
3.22,13.0,1.71,-3.11,-0.02,-0.14,0.98,-0.56,8.07,0.26
3.27,13.0,-0.55,-3.11,0.01,-0.18,0.99,-0.76,7.23,0.26
3.33,13.0,-0.55,-3.11,-0.02,-0.17,1.02,-0.89,6.69,0.21
3.38,15.26,-0.37,-2.87,0.0,-0.12,0.98,-0.88,5.77,0.18
3.43,15.44,0.31,-4.33,0.01,-0.08,0.99,-1.13,5.05,0.18
3.49,14.71,-0.24,-0.67,0.02,-0.05,1.01,-1.22,4.12,0.19
3.54,12.76,-0.24,1.46,0.04,-0.02,1.0,-1.21,3.36,0.26
3.59,5.62,-0.37,4.52,0.07,-0.04,1.01,-1.0,2.79,0.3
3.65,0.06,0.67,5.74,0.05,-0.1,1.01,-0.73,2.71,0.31
3.7,0.43,0.55,8.67,0.05,-0.1,1.01,-0.33,2.77,0.25
3.76,-0.73,0.67,0.79,0.01,-0.11,1.01,-0.12,2.84,0.15
3.82,-0.61,0.18,-9.83,-0.02,-0.16,1.0,-0.45,3.0,0.13
3.87,-1.65,-0.31,-10.62,0.0,-0.02,1.04,-0.99,3.09,0.16
3.93,-1.04,-1.59,-7.81,-0.03,-0.01,0.95,-1.53,3.24,0.24
3.97,1.16,-1.1,-2.75,-0.05,0.0,1.0,-1.71,3.1,0.32
